2017-11-21 Sophia, Karlstorbahnhof, Heidelberg
2017-11-15 Archive, Substage, Karlsruhe
2017-11-12 Glen Hansard, Alte Oper, Frankfurt am Main
2017-11-07 Birdeatsbaby, Dorfschaenke, Karlsruhe
2017-11-05 !!!, Luxor, Koeln
2017-11-02 Warhaus, Schlachthof, Wiesbaden
2017-10-31 Kasabian, C-Halle, Berlin
2017-10-30 Wolf Alice, Festsaal Kreuzberg, Berlin
2017-10-15 Lorde, Tempodrom, Berlin
2017-10-14 Sigur Ros, Jahrhunderthalle, Frankfurt
2017-10-05 Beth Ditto, Batschkapp, Frankfurt
2017-10-04 Schnipo Schranke, Jubez, Karlsruhe
2017-09-24 Portugal. The Man, Substage, Karlsruhe
2017-09-13 The Guilt, Kreativfabrik, Wiesbaden
2017-09-01 Grossstadtgefluester, Kantine, Augsburg
2017-08-18 The Red Paintings, Das Bett, Frankfurt
2017-08-17 Kettcar, Thees Uhlmann, Substage, Karlsruhe
2017-08-16 The Naked And Famous (T/N/A/F), Gibson, Frankfurt
2017-08-15 Conor Oberst, Batschkapp, Frankfurt
2017-08-05 Get Well Soon, Tollhaus, Karlsruhe
2017-08-04 Max und Iggor Cavalera, Substage, Karlsruhe
2017-07-28 Reel Big Fish, Richard Cheese, Dual Core, Caesars Palace, Las Vegas (Defcon)
2017-07-22 Feine Sahne Fischfilet, Guenther-Klotz Anlage, Karlsruhe (Das Fest)
2017-07-21 Astronautalis, Guenther-Klotz Anlage, Karlsruhe (Das Fest)
2017-07-09 ZZ Top, Loreley
2017-07-08 Scooter, SparkassenPark, Moenchengladbach
2017-07-02 Kyle Gass Band, Substage, Karlsruhe
2017-06-24 Grossstadtgefluester, Uni-Fest, Karlsruhe
2017-06-18 Amanda Palmer, Maimarktgelaende, Mannheim
2017-06-17 Kate Tempest, Maimarktgelaende, Mannheim
2017-06-16 Bilderbuch, Maimarktgelaende, Mannheim
2017-06-07 The Kills, Taeubchenthal, Leipzig
2017-05-23 Royal Blood, Luxor, Koeln
2017-05-20 Rhonda, Substage, Karlsruhe
2017-05-19 God Is An Astronaut, Substage, Karlsruhe
2017-05-18 The Guilt, Kurzbar,  Mannheim
2017-05-17 The Guilt, Oetinger Villa,  Darmstadt
2017-05-16 The Red Paintings, Schlachthof, Wiesbaden
2017-05-14 Sleaford Mods, Schlachthof, Wiesbaden
2017-04-26 Elaekelaeiset, Substage, Karlsruhe
2017-04-13 ASP, Substage, Karlsruhe
2017-03-14 Warpaint, Batschkapp (neu), Frankfurt
2017-03-03 Rhonda, Alte Hackerei, Karlsruhe
2017-02-26 The xx, Jahrhunderthalle, Frankfurt
2017-02-17 Grossstadtgefluester, Club Bahnhof Ehrenfeld, Koeln
